sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1562444222.31","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562444222.563505",0,1,1562444222,1,0,canceled,"0.595",,,,,,,,,,,
"1562447823.45","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562447823.057432",0,1,1562447823,1,0,canceled,"0.73",,,,,,,,,,,
"1562455728.48","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562455728.093797",0,1,1562455728,1,0,canceled,"0.8",,,,,,,,,,,
"1562468687.51","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562468687.659280",0,1,1562468692,1,0,canceled,"3.974",,,,,,,,,,,
"1562470313.54","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562470313.621084",0,1,1562470314,1,0,canceled,"0.812",,,,,,,,,,,
"1562750222.25","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562750222.473169",0,1,1562750222,1,0,canceled,"0.755",,,,,,,,,,,
"1562753823.30","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562753823.198478",0,1,1562753823,1,0,canceled,"1.034",,,,,,,,,,,
"1562757423.35","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562757423.307293",0,1,1562757423,1,0,canceled,"0.812",,,,,,,,,,,
"1562761022.40","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562761022.619356",0,1,1562761022,1,0,canceled,"0.872",,,,,,,,,,,
"1562764623.45","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562764623.242476",0,1,1562764623,1,0,canceled,"0.734",,,,,,,,,,,
"1562769848.48","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562769848.378210",0,1,1562769848,1,0,canceled,"2.41",,,,,,,,,,,
"1562776083.49","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562776083.597218",0,1,1562776088,1,0,canceled,"5.21",,,,,,,,,,,
"1562779341.50","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562779341.876848",0,1,1562779342,1,0,canceled,"0.769",,,,,,,,,,,
"1562782622.55","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562782623.012927",0,1,1562782623,1,0,canceled,"1.012",,,,,,,,,,,
"1562786224.60","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562786224.107427",0,1,1562786224,1,0,canceled,"0.833",,,,,,,,,,,
"1562789823.65","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562789823.362943",0,1,1562789823,1,0,canceled,"0.975",,,,,,,,,,,
"1562793423.68","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562793423.175791",0,1,1562793423,1,0,canceled,"0.788",,,,,,,,,,,
"1562801288.71","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562801288.420873",0,1,1562801289,1,0,canceled,"1.191",,,,,,,,,,,
"1562807778.72","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562807778.298662",0,1,1562807778,1,0,canceled,"1.0050000000000001",,,,,,,,,,,
"1562814261.75","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562814261.913845",0,1,1562814262,1,0,canceled,"0.8240000000000001",,,,,,,,,,,
"1562820843.80","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562820843.087590",0,1,1562820846,1,0,canceled,"4.4190000000000005",,,,,,,,,,,
"1562826551.83","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562826551.651055",0,1,1562826555,1,0,canceled,"5.138",,,,,,,,,,,
"1562829423.86","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562829423.396618",0,1,1562829423,1,0,canceled,"0.711",,,,,,,,,,,
"1562833023.91","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562833023.200278",0,1,1562833023,1,0,canceled,"0.9470000000000001",,,,,,,,,,,
"1562836622.96","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562836622.921592",0,1,1562836623,1,0,canceled,"0.723",,,,,,,,,,,
"1562840223.101","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562840223.737777",0,1,1562840224,1,0,canceled,1,,,,,,,,,,,
"1562843822.106","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562843822.984628",0,1,1562843823,1,0,canceled,"0.8260000000000001",,,,,,,,,,,
"1562847423.111","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562847423.169693",0,1,1562847423,1,0,canceled,"0.8160000000000001",,,,,,,,,,,
"1562851023.116","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562851023.215629",0,1,1562851023,1,0,canceled,"0.709",,,,,,,,,,,
"1562854622.121","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562854622.682938",0,1,1562854623,1,0,canceled,"0.762",,,,,,,,,,,
"1562864861.124","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562864861.792991",0,1,1562864862,1,0,canceled,"1.182",,,,,,,,,,,
"1562864898.125","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562864898.777004",0,1,1562864899,1,0,canceled,"0.912",,,,,,,,,,,
"1562865422.126","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562865422.730425",0,1,1562865423,1,0,canceled,"0.736",,,,,,,,,,,
"1562869022.131","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562869022.886344",0,1,1562869023,1,0,canceled,"0.901",,,,,,,,,,,
"1562872622.136","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562872622.411214",0,1,1562872622,1,0,canceled,"0.8230000000000001",,,,,,,,,,,
"1562882417.141","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562882417.049242",0,0,1562882417,0,0,canceled,"6477.01",,,,,,,,,,,
"1562901876.144","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562901876.511910",0,1,1562901877,1,0,canceled,"0.901",,,,,,,,,,,
"1562906477.149","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562906477.977761",0,1,1562906477,1,0,canceled,"0.729",,,,,,,,,,,
"1562913393.152","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562913393.394123",0,1,1562913393,1,0,canceled,"0.764",,,,,,,,,,,
"1562918964.153","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562918964.090669",0,1,1562918964,1,0,canceled,"0.857",,,,,,,,,,,
"1562920645.154","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562920645.193249",0,1,1562920645,1,0,canceled,"1.01",,,,,,,,,,,
"1562923022.157","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562923022.562632",0,1,1562923023,1,0,canceled,"0.737",,,,,,,,,,,
"1562926622.162","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562926622.693501",0,1,1562926623,1,0,canceled,"0.6890000000000001",,,,,,,,,,,
"1562930222.167","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562930222.722782",0,1,1562930223,1,0,canceled,"0.8170000000000001",,,,,,,,,,,
"1562933822.172","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562933822.814446",0,1,1562933823,1,0,canceled,"0.907",,,,,,,,,,,
"1562937423.177","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562937423.630834",0,1,1562937424,1,0,canceled,"0.92",,,,,,,,,,,
"1562941022.182","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562941022.937911",0,1,1562941023,1,0,canceled,"0.812",,,,,,,,,,,
"1562944622.187","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562944622.774213",0,1,1562944623,1,0,canceled,"0.749",,,,,,,,,,,
"1562948223.192","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562948223.528580",0,1,1562948224,1,0,canceled,"0.864",,,,,,,,,,,
"1562951823.197","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562951823.373998",0,1,1562951823,1,0,canceled,"0.792",,,,,,,,,,,
"1562955422.202","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562955422.973318",0,1,1562955423,1,0,canceled,"1.149",,,,,,,,,,,
"1562959022.207","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562959022.570687",0,1,1562959023,1,0,canceled,"0.799",,,,,,,,,,,
"1562962622.212","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562962622.839832",0,1,1562962623,1,0,canceled,"0.685",,,,,,,,,,,
"1562975079.215","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",f46a6fe235b2,"1562975079.281208",0,0,1562975084,0,0,canceled,"7.518",,,,,,,,,,,
"1562981561.216","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562981561.360376",0,1,1562981566,1,0,canceled,"6.0200000000000005",,,,,,,,,,,
"1562988043.219","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",f46a6fe235b2,"1562988043.435628",0,,,,,canceled,,,,,,,,,,,,
