sid,search,"splunk_server","_time","is_realtime",provenance,"api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","savedsearch_name","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time","__mv_savedsearch_name"
"rt_md_1562442828.9","| metadata type=sourcetypes | search totalCount > 0",f46a6fe235b2,"1562442828.827244",1,"UI:Search",,,0,1562442829,0,0,,,canceled,"41.078",,,,,,,,,,,,,,,,,,
"1562442869.10","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount | predict ""invoice_amount"" as prediction algorithm=LLP5 holdback=0 future_timespan=5 upper0=upper0 lower0=lower0 | `forecastviz(5, 0, ""invoice_amount"", 0)`",f46a6fe235b2,"1562442869.759652",0,"UI:Search","1562353200.000000000","1562442869.000000000",0,1562442870,0,0,"1562353200.000000000","1562442869.000000000",completed,"0.863",,,,,,,,,,,,,,,,,,
"1562442901.11","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount | predict ""invoice_amount"" as prediction algorithm=LLP5 holdback=0 future_timespan=5 upper0=upper0 lower0=lower0 | `forecastviz(5, 0, ""invoice_amount"", 0)`",f46a6fe235b2,"1562442901.528364",0,"UI:Search",,,21,1562442902,26,21,,,completed,"0.862",,,,,,,,,,,,,,,,,,
"rt_md_1562442927.12","| metadata type=sourcetypes | search totalCount > 0",f46a6fe235b2,"1562442927.628660",1,"UI:Search",,,0,1562442928,0,0,,,canceled,"14.105",,,,,,,,,,,,,,,,,,
"1562442941.13","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562442941.649044",0,"UI:Search","1562353200.000000000","1562442941.000000000",0,1562442942,0,0,"1562353200.000000000","1562442941.000000000",completed,"0.277",,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562442964.14","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562442964.848779",0,splunkjs,,,0,1562442966,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562442984.15","search search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562442984.886746",0,splunkjs,,,0,1562442985,0,0,,,canceled,"0.356",searchBarSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD50c11eb8f5ef38736_1562442986.16","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562442984.15 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""",f46a6fe235b2,"1562442986.072230",0,splunkjs,,,0,1562442986,0,0,,,canceled,"0.015",predictionFieldsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562442999.17","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562442999.567341",0,splunkjs,,,21,1562442999,21,21,,,canceled,"0.077",searchBarSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD50c11eb8f5ef38736_1562442999.18","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562442999.17 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""",f46a6fe235b2,"1562442999.707387",0,splunkjs,,,0,1562442999,1,0,,,canceled,"0.015",predictionFieldsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562443001.19","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562443001.227316",0,splunkjs,,,21,1562443001,21,21,,,completed,"0.08",searchBarSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD50c11eb8f5ef38736_1562443001.20","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562443001.19 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""",f46a6fe235b2,"1562443001.736332",0,splunkjs,,,0,1562443001,1,0,,,completed,"0.015",predictionFieldsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__forecastSearch_1562443005.21","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562443001.19 | predict ""invoice_amount"" as prediction algorithm=LLP holdback=0 future_timespan=5 upper0=upper0 lower0=lower0 | `forecastviz(5, 0, ""invoice_amount"", 0)`",f46a6fe235b2,"1562443005.393105",0,splunkjs,,,0,1562443005,26,0,,,completed,"0.721",forecastSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5624c31c6f46aa25d_1562443006.22","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__forecastSearch_1562443005.21 | eval isOutlier = if(prediction!="""" AND 'invoice_amount' != """" AND ('invoice_amount' < 'lower0(prediction)' OR 'invoice_amount' > 'upper0(prediction)'), 1, 0) | where isOutlier=1 | fields - isOutlier | stats count as outlierCount",f46a6fe235b2,"1562443006.568160",0,splunkjs,,,,,,,,,failed,,predictionOutliersSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562443007.24","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562443007.703736",0,splunkjs,,,0,1562443008,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562443273.25","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562443273.824609",0,splunkjs,,,22,1562443274,22,22,,,completed,"0.315",searchBarSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD50c11eb8f5ef38736_1562443274.26","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562443273.25 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""",f46a6fe235b2,"1562443274.977505",0,splunkjs,,,0,1562443274,1,0,,,completed,"0.019",predictionFieldsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__forecastSearch_1562443280.27","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562443273.25 | predict ""invoice_amount"" as prediction algorithm=LLP holdback=0 future_timespan=5 upper0=upper0 lower0=lower0 | `forecastviz(5, 0, ""invoice_amount"", 0)`",f46a6fe235b2,"1562443280.824000",0,splunkjs,,,0,1562443280,27,0,,,completed,"0.764",forecastSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5dd8f49e5d2a8e7e4_1562443281.29","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__forecastSearch_1562443280.27 | where prediction!="""" AND 'invoice_amount' != """" | `regressionstatistics(""invoice_amount"", prediction)`",f46a6fe235b2,"1562443281.991410",0,splunkjs,,,0,1562443282,1,0,,,completed,"0.053",regressionstatisticsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562443283.30","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562443283.531084",0,splunkjs,,,0,1562443283,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562444636.34","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562444636.119488",0,splunkjs,,,0,1562444637,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562444647.35","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562444647.609425",0,splunkjs,,,0,1562444648,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562444687.36","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562444687.099158",0,splunkjs,,,0,1562444688,0,0,,,canceled,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562444691.37","search index=""invoices"" | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562444691.912545",0,splunkjs,,,22,1562444692,22,22,,,completed,"0.258",searchBarSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD50c11eb8f5ef38736_1562444693.38","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562444691.37 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""",f46a6fe235b2,"1562444693.084082",0,splunkjs,,,0,1562444693,1,0,,,completed,"0.017",predictionFieldsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__forecastSearch_1562444698.39","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562444691.37 | predict ""invoice_amount"" as prediction algorithm=LLP holdback=0 future_timespan=5 upper0=upper0 lower0=lower0 | `forecastviz(5, 0, ""invoice_amount"", 0)`",f46a6fe235b2,"1562444698.279324",0,splunkjs,,,0,1562444698,27,0,,,completed,"0.705",forecastSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5624c31c6f46aa25d_1562444699.40","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__forecastSearch_1562444698.39 | eval isOutlier = if(prediction!="""" AND 'invoice_amount' != """" AND ('invoice_amount' < 'lower0(prediction)' OR 'invoice_amount' > 'upper0(prediction)'), 1, 0) | where isOutlier=1 | fields - isOutlier | stats count as outlierCount",f46a6fe235b2,"1562444699.451552",0,splunkjs,,,0,1562444699,1,0,,,completed,"0.046",predictionOutliersSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562444700.42","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562444700.571945",0,splunkjs,,,0,1562444701,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562747177.3","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562747177.969894",0,splunkjs,,,0,1562747178,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562747191.4","search index=invoices",f46a6fe235b2,"1562747191.365776",0,splunkjs,,,22,1562747191,22,22,,,completed,"0.381",searchBarSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD50c11eb8f5ef38736_1562747192.5","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562747191.4 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""",f46a6fe235b2,"1562747192.540980",0,splunkjs,,,0,1562747192,34,0,,,completed,"0.028",predictionFieldsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562747540.15","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562747540.635823",0,splunkjs,,,0,1562747541,0,0,,,canceled,"0.003",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562747544.16","search index=""invoices"" | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562747544.508147",0,splunkjs,,,22,1562747544,22,22,,,completed,"0.342",searchBarSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD50c11eb8f5ef38736_1562747545.17","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562747544.16 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""",f46a6fe235b2,"1562747545.675928",0,splunkjs,,,0,1562747545,1,0,,,completed,"0.026000000000000002",predictionFieldsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__forecastSearch_1562747552.18","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562747544.16 | predict ""invoice_amount"" as prediction algorithm=LLP5 holdback=0 future_timespan=5 upper0=upper0 lower0=lower0 | `forecastviz(5, 0, ""invoice_amount"", 0)`",f46a6fe235b2,"1562747552.253969",0,splunkjs,,,0,1562747552,27,0,,,completed,"0.74",forecastSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5624c31c6f46aa25d_1562747553.19","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__forecastSearch_1562747552.18 | eval isOutlier = if(prediction!="""" AND 'invoice_amount' != """" AND ('invoice_amount' < 'lower0(prediction)' OR 'invoice_amount' > 'upper0(prediction)'), 1, 0) | where isOutlier=1 | fields - isOutlier | stats count as outlierCount",f46a6fe235b2,"1562747553.430085",0,splunkjs,,,0,1562747554,1,0,,,completed,"0.051000000000000004",predictionOutliersSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562747554.21","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562747554.554832",0,splunkjs,,,0,1562747554,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"1562747648.22","search index=""invoices"" | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount | predict ""invoice_amount"" as prediction algorithm=LLP5 holdback=0 future_timespan=5 upper0=upper0 lower0=lower0 | `forecastviz(5, 0, ""invoice_amount"", 0)` | where prediction!="""" AND 'invoice_amount' != """" | `regressionstatistics(""invoice_amount"", prediction)`",f46a6fe235b2,"1562747648.635867",0,"UI:Search",,,22,1562747649,1,22,,,completed,"0.9440000000000001",,,,,,,,,,,,,,,,,,
